question,answer
Is the 91Trucks contact information easily accessible?,"""Yes, it's available on their """"Contact Us"""" page."""
What kind of queries can I ask via email to 91Trucks?,You can send any queries to help@91trucks.com.
How does 91Trucks use customer engagement from support channels?,Your engagement helps them deliver relevant content for the evolving trucking community.
Can I get information about 91Trucks' services through their support channels?,"""Yes, they are there to provide insights and answer queries."""
Can I access 91Trucks on my mobile phone?,"""Yes, 91Trucks provides a user-friendly interface accessible via its website, which is designed for various devices."""
Can I use 91Trucks on my desktop computer?,"""Yes, the 91Trucks website is accessible on desktop computers."""
Is there a dedicated 91Trucks mobile application?,"""The available information mentions access via the 91Trucks website and social media channels, but does not specify a dedicated mobile application."""
How does 91Trucks ensure ease of access across different devices?,Its user-friendly interface and web-based platform are designed for easy accessibility.
Can I get real-time updates on both mobile and desktop platforms?,"""Information is easily accessible via the website, implying consistent updates across platforms."""
Is the 91Trucks website responsive for mobile viewing?,"""Yes, its user-friendly interface is designed for various devices."""
Can I perform all functions on mobile that I can on desktop?,"""The platform is designed for comprehensive information access, implying similar functionality across devices."""
Does 91Trucks' social media presence extend to mobile users?,"""Yes, active social media channels are accessible on mobile."""
"""Is the """"Request for Services"""" form accessible on mobile devices?""","""Yes, as it's part of their website, it would be mobile-accessible."""
How does 91Trucks ensure a consistent user experience across devices?,Through its user-friendly and web-based platform.
"""Terms","privacy, and safety of data"","
Does 91Trucks have a Privacy Policy?,"""Yes, by proceeding with their services, users agree to their Privacy Policy."""
"""What is the """"Consent Declaration"""" mentioned by 91Trucks?""","""It's a declaration users agree to, appointing 91Trucks as their authorized representative to receive credit information from certified credit rating agencies."""
Does 91Trucks access my credit information?,"""Yes, users consent to 91Trucks receiving their credit information from certified credit rating agencies like CIC or CRIF Highmark."""
What measures does 91Trucks take regarding data privacy?,"""91Trucks operates under a Privacy Policy and Consent Declaration that users agree to, which includes provisions for accessing credit information from certified agencies."""
What is the purpose of 91Trucks receiving my credit information?,"""It is part of the Consent Declaration, likely for facilitating financing options."""
Does 91Trucks share personal data with other companies?,"""The provided information states that users consent to 91Trucks receiving their credit information from certified credit rating agencies. For details on data sharing, users should refer to the full Privacy Policy."""
Where can I find the full Privacy Policy of 91Trucks?,"""It is referenced on their """"Request for Services"""" form, implying it's accessible on their website."""
Is 91Trucks compliant with data protection regulations?,"""91Trucks operates under a Privacy Policy and Consent Declaration that users agree to, which outlines their data handling practices."""
What happens if I don't agree to the Privacy Policy?,"""The form states """"By proceeding ahead you expressly agree to our Privacy Policy,"""" implying agreement is necessary to use certain services."""
How does 91Trucks ensure the safety of my data?,"""It operates under a Privacy Policy and Consent Declaration, which would outline their data security measures."""
What is the size of 91Trucks in terms of its employee count?,91Trucks has 2 total employees.
What industry is 91Trucks primarily categorized under?,91Trucks' primary industry is Media and Information Services (B2B).
Is 91Trucks a publicly traded or private company?,91Trucks is a Private company.
What is 91Trucks' current revenue?,The current revenue for 91Trucks is not specified in the provided information.
Where was the first 91Trucks physical store inaugurated?,"""The first 91Trucks store was inaugurated in Udyog Vihar, Gurugram."""
What was the strategic reason behind the location of the first 91Trucks store?,"""This strategic location allowed for immediate access to a diverse customer base, setting the stage for future growth."""
Has 91Trucks expanded its physical presence beyond its initial location?,"""Yes, 91Trucks has successfully expanded its operational footprint to include multiple stores across Delhi NCR."""
Which specific cities in Delhi NCR currently have 91Trucks stores?,"""Stores are located in Lal Kuan MB Road, Mundka, Singhu Border, and Meerut."""
What are 91Trucks' expansion plans for its retail stores?,It plans to strengthen its offline footprint by setting up over 20 retail stores across Tier 2 and Tier 3 cities.
What is 91Trucks' annual sales target for the next three years?,"""Over the next three years, it aims to scale its annual sales to 10,000 vehicles."""
What kind of customers does 91Trucks primarily target with its platform?,Its platform is tailored to small fleet owners and first-time buyers of commercial vehicles.
Why is the small commercial vehicle segment important in India for 91Trucks?,"""Over % of CV sales in India comprise small commercial vehicles, primarily used for last-mile delivery."""
How does 91Trucks address the pain points faced by driver owners?,The founders understand these pain points and tackle them in a tech-first way.
"""What role does logistics play in India's economic growth","according to 91Trucks' investors?"",""Logistics will be a key driver of India's expansion towards an $8 trillion economy, especially driven by trends like quick commerce."""
How does 91Trucks contribute to India's self-reliance?,"""By empowering local businesses, 91Trucks aligns with the Atma Nirbhar Bharat initiative."""
What is the significance of 91Trucks' focus on Tier 2 and Tier 3 cities for its expansion?,"""Digital adoption is rising rapidly in these cities, making them key for customer base expansion."""
Can I find information on specific types of commercial vehicles like three-wheelers on 91Trucks?,"""Yes, the platform covers trucks, buses, and three-wheelers."""
How does 91Trucks plan to utilize its recent funding?,"""The capital will be used to expand its technology and product suite, grow its team, and strengthen its offline footprint."""
How does 91Trucks help in improving the buying and selling experience for commercial vehicles?,"""It provides an end-to-end digital marketplace for new and used trucks, financing options, insurance, and post-sale services."""
How does 91Trucks ensure its content is relevant to the evolving trucking community?,User engagement helps them deliver relevant content.
How does 91Trucks contribute to the self-reliance of India?,"""By empowering local businesses, it aligns with the Atma Nirbhar Bharat initiative."""
What is the overall vision of 91Trucks?,Its vision is to transform the industry.
How does 91Trucks help in creating opportunities within the logistics and transportation sectors?,"""By providing reliable access to resources and affordable used trucks, it helps young entrepreneurs create opportunities."""
Who are the co-founders of 91Trucks?,"The co-founders of 91Trucks are Siddharth Sharma (CEO), Vikas Sharma, and Abhishek Gautam."
What types of commercial vehicles does 91Trucks deal with?,"91Trucks deals with trucks, buses, and auto-rickshaws, with a particular focus on small commercial vehicles (SCVs) used for last-mile delivery. They also have sister platforms, 91Tractors and 91Infra, for those specific segments."
"What does ""full-stack platform"" mean for 91Trucks?","A ""full-stack platform"" means 91Trucks provides end-to-end support throughout the vehicle buying and selling process. This includes vehicle discovery, buying, selling, financing, insurance, fitness checks, RTO transfers, and post-purchase support."
"What is the ""phygital"" model of 91Trucks?","The ""phygital"" model combines online (digital) services with offline (physical) presence. Customers can research vehicles online and then visit physical stores for inspection, test drives, in-person assistance, and to finalize transactions."
How does 91Trucks primarily generate revenue?,"91Trucks primarily generates revenue through the sale of new and used commercial vehicles, and by facilitating financial services (loans, insurance) and potentially other value-added services like RTO transfers and fitness checks."
What is 91Trucks' approach to online vs. offline presence?,"They leverage their online platform for discovery, lead generation, and information dissemination, while their physical stores provide the essential ""touch-and-feel"" experience, trust-building, and localized support necessary for commercial vehicle transactions in India."
How many physical stores does 91Trucks currently operate?,91Trucks currently operates 7 physical stores.
What services are typically offered at a 91Trucks physical store?,"Physical stores offer vehicle display and inspection, test drives, in-person consultation, assistance with documentation, loan applications, and general customer support."
What is the target customer segment for 91Trucks?,"The target customer segment for 91Trucks includes small fleet operators, individual truck owners, first-time buyers, and micro-entrepreneurs, primarily from Tier 2 and Tier 3 cities."
How does 91Trucks ensure the quality of used vehicles?,"They ensure quality through rigorous fitness checks, detailed inspections, and verifying vehicle history and documentation to build trust with buyers."
Does 91Trucks facilitate financing for vehicle purchases?,"Yes, 91Trucks facilitates access to affordable financing options through partnerships with banks and Non-Banking Financial Companies (NBFCs)."
What role does technology play in 91Trucks' operations?,"Technology plays a central role, driving their digital platform for vehicle discovery, AI-driven recommendations, streamlining loan approvals, managing inventory, and enhancing overall customer experience and operational efficiency."
How does 91Trucks address the challenge of trust in the used commercial vehicle market?,"They address trust by offering certified and inspected vehicles, ensuring transparent pricing, providing comprehensive paperwork support (RTO, insurance), and offering easy access to financing and post-purchase support, which is often lacking in the unorganized market."
What is the geographical focus of 91Trucks' current operations?,Their current operations are primarily focused on the Delhi NCR region and are expanding into Tier 2 and Tier 3 cities across India.
Does 91Trucks also deal in new commercial vehicles?,"Yes, their platform provides information on and facilitates sales of both new and used commercial vehicles, connecting buyers with authorized dealers and manufacturers for new vehicles."
How do they source their used commercial vehicle inventory?,"They source inventory from a variety of channels, including individual sellers, fleet owners, and potentially through partnerships with large corporations or finance companies."
What kind of support do they offer post-purchase?,"They offer comprehensive post-purchase support including assistance with RTO transfers, insurance, and warranty support for certified used vehicles."
Has 91Trucks received any significant funding?,"Yes, 91Trucks has received significant funding, including a recent Series A round."
Who led the Series A funding round for 91Trucks?,The Series A funding round for 91Trucks was led by Arkam Ventures.
Which other investors participated in the Series A round?,"Existing investors such as Titan Capital Winners Fund, Sparrow Capital, and Atrium Angels also participated in the Series A round."
How much total funding has 91Trucks raised so far?,91Trucks has raised a total of ₹48.68 Cr (approximately $5.8 million) in funding.
What are 91Trucks' plans for utilizing the recent funding?,"The recent funding will be used to expand its product and technology capabilities (especially AI), scale its team, and expand its offline retail footprint to more than 20 stores by the end of the ongoing financial year (FY25-26)."
What is 91Trucks' revenue growth trajectory?,"91Trucks has shown significant revenue growth, reporting an 8x revenue increase in the last two years. For FY 2023-24, their revenue was ₹10.11 Cr."
What is their target for annual vehicle sales in the coming years?,"91Trucks aims to sell 10,000 commercial vehicles annually within the next three years."
What cities are targeted for future physical store expansion?,"They are targeting expansion into Tier 2 and Tier 3 cities, including specific locations like Bengaluru, Hyderabad, and Bhubaneswar."
How can a buyer find a specific commercial vehicle on 91Trucks?,"Buyers can find specific commercial vehicles through their online platform by searching for vehicle type, brand, model, price range, and other specifications."
Can buyers compare different commercial vehicle models on 91Trucks?,"Yes, the 91Trucks platform allows users to compare different commercial vehicle models based on specifications, features, and pricing."
How does 91Trucks help with vehicle price discovery?,"They provide transparent and competitive pricing information, helping buyers understand the fair market value of vehicles."
Can buyers get reviews and ratings of vehicles on 91Trucks?,"Yes, the platform features user reviews and expert evaluations to help buyers make informed decisions."
Is there a process for inspecting used vehicles before purchase?,"Yes, 91Trucks emphasizes ""fitness checks"" and offers detailed inspection reports for used vehicles, and buyers can typically schedule physical inspections at their stores."
What kind of documentation support is provided for buyers?,"They provide comprehensive documentation support for purchases, including assistance with RTO transfers."
How does 91Trucks help buyers with commercial vehicle insurance?,"They facilitate access to insurance options, likely partnering with various providers to offer comprehensive policies."
Can first-time commercial vehicle buyers get special assistance?,"Yes, a key focus is on supporting first-time buyers and micro-entrepreneurs by providing easy access to reliable vehicles and affordable financing."
Does 91Trucks offer any kind of warranty on used vehicles?,"Yes, they provide warranty support for vehicle buyers, which is a key feature that builds trust and confidence."
How does 91Trucks support decision-making for buyers?,"They support decision-making through detailed information, expert reviews, user testimonials, comparison tools, and personalized recommendations."
Can I get a vehicle loan through 91Trucks even with a limited credit history?,"Yes, they aim to provide easy access to loan facilities, including for individuals with limited credit history, by partnering with financial institutions specializing in this segment."
How does 91Trucks ensure transparency in used vehicle pricing?,"They ensure transparency through clear, upfront pricing and by providing comprehensive information about the vehicle's condition and history, removing hidden costs common in the unorganized market."
Can buyers schedule a test drive or inspection of a vehicle?,"Yes, buyers can typically schedule test drives and in-person inspections at 91Trucks' physical store locations."
Does 91Trucks provide advisory services for choosing the right commercial vehicle?,"Yes, their platform and in-store staff offer guidance and advice to help customers choose vehicles that suit their specific business requirements."
Can individuals or businesses sell their used commercial vehicles through 91Trucks?,"Yes, 91Trucks provides a platform for both individuals and businesses to sell their used commercial vehicles."
How does 91Trucks determine the value of a used commercial vehicle for sale?,"They likely use a data-driven valuation process, considering factors like vehicle age, condition, mileage, market demand, and historical sales data."
What is the process for selling a vehicle to or through 91Trucks?,"The process typically involves an online inquiry, vehicle inspection and valuation, offer generation, and then assistance with paperwork and transaction completion."
Does 91Trucks handle the paperwork for sellers,"such as RTO transfer?,Yes, they handle the entire process, including facilitating RTO transfers and other necessary paperwork for sellers."
How quickly can a seller expect to sell their vehicle through 91Trucks?,Their streamlined process aims to significantly reduce the traditional selling time by connecting sellers with a wide network of buyers.
Does 91Trucks charge a fee or commission for selling a vehicle?,"While specific details aren't always public, platforms like 91Trucks typically operate on a margin from the sale or a service fee/commission."
Can I sell a damaged or non-functional commercial vehicle to 91Trucks?,"Their primary focus is on roadworthy, certified vehicles. While they might offer solutions for older vehicles (e.g., through parts or scrapping), their core business is resalable units."
What differentiates 91Trucks from traditional commercial vehicle dealerships?,"The key differentiators are their ""phygital"" model, full-stack service offering (financing, RTO, insurance), emphasis on trust and transparency in used vehicles, and a strong technology backbone."
Who are 91Trucks' main competitors in the Indian commercial vehicle market?,"Their competitors include traditional unorganized dealers, other online classified platforms for CVs, and potentially direct sales channels from OEMs for new vehicles."
How does 91Trucks address the unorganized nature of the used commercial vehicle market in India?,"By bringing transparency, standardization (through inspections), and formal processes for financing and paperwork to a market historically plagued by inefficiencies and lack of trust."
What market trends is 91Trucks capitalizing on?,"They are capitalizing on the rising demand for commercial vehicles, especially for last-mile delivery, the growth of e-commerce, the increasing formalization of the logistics sector, and the digital adoption in Tier 2/3 cities."
"How does 91Trucks contribute to India's ""Atma Nirbhar Bharat"" initiative?","By empowering micro-entrepreneurs with access to reliable vehicles and financing, and promoting a more organized and self-reliant commercial vehicle ecosystem."
What is the overall market size of the Indian commercial vehicle industry?,The used commercial vehicle market in India is estimated to be around $50 billion. The overall CV industry is a significant driver of the Indian economy.
What factors are driving growth in the Indian commercial vehicle market?,"Growth is driven by infrastructure development, e-commerce expansion, increased demand for last-mile delivery services, and government initiatives."
How significant is the used commercial vehicle market in India?,"It's highly significant, forming a large and often unorganized segment where 91Trucks sees immense opportunity for formalization and growth."
Does 91Trucks have any partnerships with OEMs or financial institutions?,"Yes, they partner with automotive manufacturers (OEMs), dealers, banks, and NBFCs to offer comprehensive solutions including IT solutions and financing."
How does 91Trucks use AI in its platform?,They are incorporating AI-based tools to navigate buyers according to their operating requirements and to make processes like loan approvals faster (aiming for 10-minute approvals).
What kind of digital marketing strategies does 91Trucks employ?,"They use their website and social media platforms for engagement, publishing vehicle information, news, reviews, and running marketing campaigns, utilizing vernacular content."
Does 91Trucks provide any analytics or insights to its users?,"While not explicitly stated for end-users, their tech-first approach suggests they use analytics internally for market insights, and could potentially offer some high-level insights to partners."
How does 91Trucks aim to enhance its product and technology capabilities?,"By continuously investing in product development and technology, particularly in AI, to streamline processes and improve the user experience."
Is the 91Trucks website user-friendly for non-tech-savvy individuals?,"Given their target audience in Tier 2/3 cities and small operators, the platform would be designed to be intuitive and accessible, potentially with vernacular language options."
What is the role of vernacular content on the 91Trucks platform?,"Vernacular content is crucial for reaching their target audience in Tier 2 and Tier 3 cities, making information more accessible and relatable to local users."
What is 91Trucks' long-term vision for the commercial vehicle industry?,"Their long-term vision is to become the ""ultimate destination"" for commercial vehicles, building a brand rooted in trust and technology, and a one-stop solution for anyone wanting to start or expand their trucking business."
Are there any plans to expand beyond trucks,"buses, and auto-rickshaws?,Yes, they have already established sister platforms, 91Tractors and 91Infra, indicating a broader vision for other commercial and agricultural machinery segments."
How will 91Trucks contribute to the growth of logistics and transportation in India?,"By formalizing the vehicle acquisition process, providing access to reliable vehicles and financing, and ultimately empowering small fleet operators who form the backbone of India's logistics."
What is 91Trucks' role in supporting young entrepreneurs in logistics?,They create micro-entrepreneurs by giving them easy access to reliable used commercial vehicles with accessible loan facilities and warranty support.
How does 91Trucks view the future of electric commercial vehicles in India?,"They are actively embracing the shift towards electric vehicles, featuring ECVs on their platform and preparing to support this growing segment."
Will 91Trucks offer services for vehicle maintenance or spare parts in the future?,"While not a primary focus currently, it could be a logical future extension of their full-stack ecosystem to offer or facilitate such services."
How does 91Trucks plan to maintain trust during its rapid expansion?,"By consistently delivering on transparency, quality assurance, reliable support, and leveraging positive word-of-mouth from satisfied customers across new geographies."
Will 91Trucks consider expanding internationally in the future?,There is no public information about international expansion plans at this time; their focus is currently on consolidating and expanding within India.
How does the government's Vehicle Scrappage Policy impact 91Trucks' business?,"The policy encourages the scrapping of older, polluting vehicles, which could increase demand for newer, more compliant used vehicles that 91Trucks aims to provide, and potentially increase supply of scrap vehicles."
What is 91Trucks' stance on environmental sustainability in the CV industry?,They support sustainability by promoting cleaner fuel options like CNG and Electric Commercial Vehicles (ECVs) and ensuring fitness checks for vehicles.
How can customers contact 91Trucks for support?,"Customers can contact them via their website (which lists phone numbers for various stores), potentially email, and by visiting their physical stores."
Is there a customer feedback mechanism on 91Trucks?,"Yes, they likely use various channels like surveys, direct interactions, and online reviews to gather feedback."
How does 91Trucks ensure customer satisfaction?,"By providing a seamless, transparent, and trustworthy experience from vehicle discovery to post-purchase support, coupled with quality vehicles and accessible financing."
What kind of after-sales support can buyers expect?,"Buyers can expect assistance with RTO transfers, insurance, and warranty support for certified used vehicles."
Are there any specific initiatives to train or support their sales team?,"Yes, they would invest in training programs for their sales and operational teams to ensure consistent service quality and up-to-date knowledge."
How does 91Trucks handle customer grievances or issues?,"They would have a dedicated customer support system to address and resolve any grievances or issues promptly, maintaining their focus on customer trust."
Is there a loyalty program or repeat customer benefits?,"While not explicitly detailed, as a growing platform, establishing loyalty programs for repeat fleet operators would be a logical strategy."
How does 91Trucks impact the informal used CV market?,"It impacts it by formalizing processes, introducing transparency, setting quality benchmarks, and providing organized financing options that the informal market lacks."
What is 91Trucks' contribution to job creation in the logistics sector?,"By empowering small fleet operators and creating micro-entrepreneurs, they indirectly contribute to job creation within the broader logistics and transportation ecosystem."
Does 91Trucks plan to influence government policy regarding commercial vehicles?,"While not explicitly stated, as a significant player organizing the market, they may indirectly influence policy through industry associations or by demonstrating the benefits of formalized processes."
How does 91Trucks address the demand from e-commerce and last-mile delivery?,"They specifically focus on small commercial vehicles (SCVs) and mini-trucks, which are crucial for last-mile delivery, catering directly to the needs driven by e-commerce growth."
What challenges does 91Trucks face in the Indian market?,"Challenges include intense competition from unorganized players, varying regional regulations, difficulty in standardizing used vehicle quality across a vast market, and evolving customer needs."
How does 91Trucks plan to overcome the challenges in the market?,"By rapidly expanding their phygital footprint, leveraging technology (especially AI), building trust through transparent processes, and offering comprehensive, integrated services."
"What is the significance of ""vernacular content"" in their growth strategy?","It is significant because it allows them to reach and engage effectively with their target audience in Tier 2 and Tier 3 cities, where English proficiency may be lower, making information more accessible and relatable."
How does 91Trucks assess market demand for different vehicle types?,"They assess market demand through data analytics from their online platform, insights from their physical stores, and by tracking overall industry trends and regional economic activities."
Can 91Trucks help with vehicle registration and compliance?,"Yes, they provide comprehensive support for RTO transfers and ensure compliance with all necessary regulations."
What is 91Trucks' role in promoting digitization in the CV industry?,"They play a significant role by offering a digital platform for vehicle discovery, comparison, and facilitating digital processes for financing, insurance, and RTO transfers, thus encouraging digital adoption in the sector."
How do they ensure data security and privacy on their platform?,"They implement robust cybersecurity measures, including data encryption, secure servers, access controls, and adherence to relevant data protection regulations."
Does 91Trucks engage in corporate social responsibility initiatives?,"While not publicly detailed, their mission to empower micro-entrepreneurs and formalize the industry aligns with broader social responsibility by improving livelihoods."
What is the average number of employees at 91Trucks?,"As of February 28, 2025, 91Trucks (Vansun Ventures Private Limited) had an employee count of 55."
How do the founders' collective experience benefit 91Trucks?,"The co-founders bring over 40 years of collective experience in the automotive industry, providing deep insights into market dynamics, customer pain points, and operational efficiencies."
What are the key performance indicators (KPIs) 91Trucks likely tracks?,"Key KPIs include sales volume (new and used), revenue growth, customer acquisition cost, customer lifetime value, loan approval rates, customer satisfaction scores, inventory turnover, and physical store performance metrics."
How does 91Trucks adapt to changes in fuel prices or emission norms?,"They adapt by providing information on diverse fuel types (diesel, CNG, electric), promoting fuel-efficient and compliant vehicles, and staying updated on regulatory changes to advise customers effectively."
How does 91Trucks manage inventory for its physical stores?,"They likely employ a centralized inventory management system that tracks vehicles online and across their physical stores, optimizing stock levels and availability based on regional demand."
What is the typical turnaround time for a used vehicle sale through 91Trucks?,"While it varies, their full-stack approach aims to significantly reduce the traditional selling time by streamlining inspection, valuation, paperwork, and buyer connection."
How does 91Trucks ensure consistent service quality across its expanding physical store network?,"They likely implement standardized training programs for staff, centralized operational guidelines, and quality control checks, possibly leveraging technology for consistency."
What specific metrics does 91Trucks use to evaluate the performance of its physical stores?,"Key metrics would include conversion rates (visitors to buyers), average transaction value, customer satisfaction scores, inventory turnover, and profitability per store."
Does 91Trucks employ its own team for vehicle inspections,"or do they outsource?,They likely have a mix – an in-house team for initial assessments and quality control, and potentially partnerships with certified third-party inspectors for specialized checks."
How does 91Trucks leverage its online platform to support its physical stores?,"The online platform generates leads, provides detailed information that pre-qualifies buyers, and allows customers to research vehicles before visiting a store, creating a seamless ""phygital"" journey."
What is the role of logistics in 91Trucks' operations,"particularly for used vehicles?,Logistics are crucial for moving purchased used vehicles to their stores, transferring vehicles between stores if needed, and delivering vehicles to buyers. They might have an in-house logistics team or partner with transporters."
How does 91Trucks handle vehicle transportation and delivery to buyers?,"They likely facilitate or arrange for the transportation of vehicles to the buyer's location, especially for out-of-area sales, ensuring a convenient delivery experience."
Does 91Trucks offer any services for vehicle customization or modifications?,"While not a primary service, they might connect buyers with third-party providers for common customizations, especially for specific business needs, though their core focus is on vehicle sales."
How does 91Trucks manage its sales funnel from lead generation to conversion?,"They use their digital platform for lead generation, followed by CRM systems to manage interactions, track customer journeys, and support their sales team in converting leads into sales."
What is the significance of Arkam Ventures leading their Series A funding?,"Arkam Ventures' lead signifies strong investor confidence in 91Trucks' business model, growth potential, and ability to disrupt the commercial vehicle market, especially given Arkam's focus on tech-led businesses."
How does 91Trucks plan to achieve its target of selling 10,"000 commercial vehicles annually?,This will be achieved through aggressive expansion of physical stores, enhanced digital marketing, growing their inventory of quality used vehicles, and strengthening their financing solutions."
What were 91Trucks' reported revenues for FY 2023-24?,"For FY 2023-24, 91Trucks (Vansun Ventures Private Limited) reported a revenue of ₹10.11 Cr."
What was 91Trucks' profit/loss for FY 2023-24?,"In FY 2023-24, 91Trucks reported a loss of -₹96.34 Lakh (less than ₹1 crore)."
What is the post-money valuation of 91Trucks after the Series A round?,"As of March 2025, the projected post-money valuation for 91Trucks after the Series A round was around $15-20 million."
How does 91Trucks plan to ensure profitability with rapid expansion?,"Profitability will likely be driven by increasing sales volume, optimizing operational costs, improving margins on vehicle sales, and generating revenue from value-added services like financing and insurance."
What role do existing investors play in subsequent funding rounds?,Continued participation from existing investors like Titan Capital and Sparrow Capital demonstrates their ongoing belief in the company's progress and future prospects.
How does 91Trucks manage its working capital for inventory acquisition?,"They would require robust working capital management, potentially involving lines of credit from financial partners, to acquire and hold used vehicle inventory until sale."
What are the potential risks for investors in 91Trucks?,"Risks could include intense competition, challenges in scaling the ""phygital"" model efficiently, economic downturns impacting commercial vehicle demand, and regulatory changes in the automotive or financial sectors."
"How does 91Trucks plan to become the ""ultimate destination"" for used CVs?","By building unparalleled trust, offering a wide selection, providing comprehensive services (financing, RTO, insurance, inspection), and creating a seamless online-to-offline experience."
How will AI enhance the customer experience on 91Trucks?,"AI can power personalized vehicle recommendations, offer predictive maintenance insights, automate customer support via chatbots, and analyze user behavior to improve website navigation and service offerings."
What kind of data does 91Trucks collect,"and how is it used?,They collect data on user preferences, vehicle inquiries, sales data, financing applications, and vehicle performance. This data is used for market analysis, demand forecasting, personalized recommendations, and operational efficiency."
How does 91Trucks ensure data security and user privacy?,"They would implement robust cybersecurity measures, data encryption, access controls, and adhere to data protection regulations like India's upcoming data privacy laws to protect user information."
"What are the ""IT solutions"" 91Trucks offers to manufacturers and dealers?","These could include lead management systems, inventory integration tools, performance analytics dashboards, and streamlined communication channels for partnership efficiency."
"How does 91Trucks plan to achieve ""10-minute approval of loans""?","This would involve leveraging AI and machine learning for rapid credit assessment, digital documentation, and direct API integrations with their network of banks and NBFCs for quick processing."
How does 91Trucks utilize its website and social media platforms for engagement?,"They use these platforms for publishing vehicle information, news, reviews, running marketing campaigns, engaging with the community, and generating leads for sales."
Will 91Trucks develop a dedicated mobile application for buyers/sellers?,"While not explicitly announced, a mobile app would be a logical next step for a tech-driven platform to enhance user accessibility and convenience."
How does 91Trucks use technology to streamline RTO transfers and documentation?,"They likely use digital platforms for document submission, tracking, and communication with RTO authorities, minimizing manual effort and delays for both buyers and sellers."
What kind of internal tools does 91Trucks use to manage its operations?,"They would use CRM systems, ERP software for inventory and financial management, and proprietary tools for vehicle inspection and valuation."
How does 91Trucks ensure the accuracy and freshness of information on its platform?,"Through continuous updates from OEMs, dealers, and internal data analysis, combined with a dedicated content and data management team."
How does the rising demand for last-mile delivery vehicles benefit 91Trucks?,"The surge in e-commerce and quick commerce drives demand for small commercial vehicles (SCVs) and mini-trucks, which are a key focus for 91Trucks and its target segment of small fleet owners."
How does 91Trucks differentiate its used vehicle offerings from unorganized sellers?,"By offering certified and inspected vehicles, transparent pricing, comprehensive paperwork support, and access to financing and insurance, which unorganized sellers often cannot provide."
What is the potential impact of government policies like vehicle scrappage on 91Trucks?,"The policy could increase the supply of older vehicles (which 91Trucks could process or sell for parts) and boost demand for newer, more compliant used vehicles, creating opportunities."
"How does 91Trucks plan to build a ""trusted brand"" in a highly fragmented market?","By consistently delivering on transparency, quality assurance, reliable support, and leveraging positive word-of-mouth from satisfied customers."
"What is the competitive advantage of 91Trucks' ""phygital"" model over purely online platforms?","The physical stores address the essential ""touch and feel"" aspect for commercial vehicles, provide in-person support, and build local trust, which pure online platforms struggle with."
How does 91Trucks counter the local market knowledge of traditional dealers?,By combining data analytics with local presence (physical stores and on-ground teams) to gain market insights and build relationships.
What is the average number of vehicles sold per physical store currently?,"While not publicly disclosed, with 7 stores and a goal of 10,000 annual sales, their current per-store sales would be significant, and targeted to increase with efficiency."
How does 91Trucks plan to acquire market share from existing players?,"By offering superior customer experience, better financing options, wider inventory, and a more transparent process compared to unorganized players and even some existing platforms."
How does 91Trucks plan to address regional preferences and demands for CVs?,"By analyzing local market data, stocking relevant vehicle types in regional stores, and tailoring marketing and vernacular content to specific areas."
What specific challenges are unique to the commercial vehicle market compared to passenger vehicles?,"Challenges include higher transaction values, stricter financing requirements, diverse vehicle types for specific business applications, and greater importance of uptime and maintenance."
What specific types of construction equipment will 91Infra focus on?,"91Infra would likely focus on popular construction equipment like excavators, loaders, backhoes, dozers, and rollers, catering to various infrastructure project needs."
How will 91Tractors cater to the agricultural sector's unique needs?,"91Tractors would offer information, sales, and services for new and used tractors, likely including specialized implements, financing for farmers, and potentially localized service networks."
What is the strategic importance of expanding into Tier 2 and Tier 3 cities?,"These cities represent untapped growth markets with significant demand for commercial vehicles, often with less organized existing markets and a higher proportion of small fleet operators."
How does 91Trucks plan to build its team to support rapid expansion?,"By focusing on talent acquisition for sales, operations, technology, and customer support roles, and implementing effective training and onboarding programs."
What is the projected timeline for achieving 20+ physical stores?,"Based on their statements, they aim to significantly expand their physical footprint to more than 20 stores by the end of the ongoing financial year (FY25-26)."
Will 91Trucks explore partnerships with logistics tech startups in the future?,"Given their focus on logistics and small fleet operators, partnerships with logistics tech startups (e.g., for fleet management, route optimization) could be a natural synergy."
How does 91Trucks envision the long-term impact on the livelihood of truck drivers and small owners?,"They aim to empower them by providing easier access to reliable vehicles, affordable financing, and support services, helping them establish and grow their independent businesses."
What role might vehicle-as-a-service (VaaS) models play in 91Trucks' future?,"While primarily a sales platform, as the market evolves, they might explore or facilitate VaaS models, particularly for specific segments like last-mile delivery or specialized equipment."
How does 91Trucks plan to address the skills gap in the commercial vehicle maintenance sector?,"While not a direct service, by supporting reliable vehicle acquisition, they indirectly contribute to a more formalized ecosystem that could eventually encourage better maintenance infrastructure."
What is 91Trucks' strategy for staying ahead of technological advancements in the automotive industry (e.g.,"EVs)?,They plan to continuously invest in product and technology capabilities, ensuring their platform is equipped to handle and promote new vehicle technologies like EVs. Their news section already highlights EV trucks."
A small fleet owner wants to upgrade two old trucks and buy one new one. How would 91Trucks assist?,"They would help value and potentially purchase the old trucks, provide options for a new truck (connecting with dealers), and facilitate financing for the new acquisition."
A first-time buyer with limited credit history needs a used mini-truck. What support does 91Trucks offer?,"They would guide the buyer through available certified mini-truck options, connect them with NBFCs or banks willing to lend to new entrepreneurs, and assist with loan applications."
